Training on 7927 examples
Training Valence
Train Loss: 8.969650826289993
Train Loss: 254.64054890770794
Train Loss: 2160.774150558847
Train Loss: 5608.010251169237
Train Loss: 5150.093625555697
Train Loss: 1653.7158497975674
Train Loss: 154.5115701335458
Train Loss: 2.3310586712985146
Train Loss: 0.14194217822026856
Train Loss: 0.13864476761784417
Train Loss: 0.13670632780027128
Train Loss: 0.13510249044457998
Train Loss: 0.13374057808280826
Train Loss: 0.13256575627389847
Train Loss: 0.13153927476309638
Train Loss: 0.13063269391788612
Train Loss: 0.12982460682907862
Train Loss: 0.12909855923924285
Train Loss: 0.12844167424818118
Train Loss: 0.12784371553248863
Train Loss: 0.12729643305566377
Train Loss: 0.1267930959901972
Train Loss: 0.12632815279408738
Train Loss: 0.1258969795440299
Train Loss: 0.12549569072248593
Train Loss: 0.12512099497323384
Train Loss: 0.1247700837469099
Train Loss: 0.1244405443470391
Train Loss: 0.12413029131478837
Train Loss: 0.12383751176138555
Train Loss: 0.12356062142510597
Train Loss: 0.12329822905812979
Train Loss: 0.123049107343929
Train Loss: 0.12281216897909991
Train Loss: 0.12258644687238168
Train Loss: 0.12237107765078253
Train Loss: 0.12216528784088816
Train Loss: 0.12196838222852993
Train Loss: 0.12177973400326825
Train Loss: 0.12159877637384148
Train Loss: 0.12142499540258783
Train Loss: 0.12125792385530063
Train Loss: 0.12109713590112886
Train Loss: 0.12094224252740796
Train Loss: 0.12079288755842679
Train Loss: 0.12064874418656782
Train Loss: 0.12050951193980206
Train Loss: 0.1203749140223115
Train Loss: 0.12024469497525697
Train Loss: 0.12011861861323364
Train Loss: 0.11999646619889683
Train Loss: 0.11987803482401398
Train Loss: 0.11976313596996307
Train Loss: 0.11965159422469034
Train Loss: 0.11954324613644354
Train Loss: 0.11943793918743902
Train Loss: 0.11933553087290809
Train Loss: 0.11923588787301856
Train Loss: 0.11913888530680745
Train Loss: 0.11904440605872388
Train Loss: 0.11895234016958105
Train Loss: 0.11886258428478207
Train Loss: 0.11877504115357693
Train Loss: 0.1186896191738594
Train Loss: 0.11860623197771186
Train Loss: 0.1185247980534558
Train Loss: 0.11844524040048184
Train Loss: 0.11836748621354173
Train Loss: 0.11829146659360118
Train Loss: 0.1182171162826368
Train Loss: 0.11814437342008713
Train Loss: 0.11807317931889222
Train Loss: 0.11800347825929453
Train Loss: 0.11793521729875917
Train Loss: 0.11786834609655163
Train Loss: 0.11780281675165143
Train Loss: 0.11773858365282923
Train Loss: 0.1176756033398124
Train Loss: 0.1176138343746021
Train Loss: 0.1175532372220578
Train Loss: 0.11749377413898471
Train Loss: 0.11743540907101468
Train Loss: 0.11737810755663958
Train Loss: 0.1173218366378242
Train Loss: 0.11726656477666678
Train Loss: 0.11721226177763763
Train Loss: 0.11715889871494878
Train Loss: 0.11710644786467231
Train Loss: 0.1170548826412411
Train Loss: 0.11700417753799011
Train Loss: 0.11695430807145946
Train Loss: 0.11690525072916555
Train Loss: 0.1168569829205875
Train Loss: 0.116809482931157
Train Loss: 0.11676272987900563
Train Loss: 0.11671670367430485
Train Loss: 0.11667138498100324
Train Loss: 0.11662675518079775
Train Loss: 0.11658279633918527
Train Loss: 0.11653949117346213
Train Loss: 0.11649682302252697
Train Loss: 0.11645477581838212
Train Loss: 0.11641333405921482
Train Loss: 0.11637248278395418
Train Loss: 0.11633220754821157
Train Loss: 0.1162924944015216
Train Loss: 0.11625332986579447
Train Loss: 0.11621470091490155
Train Loss: 0.11617659495533617
Train Loss: 0.11613899980787157
Train Loss: 0.11610190369016518
Train Loss: 0.11606529520024451
Train Loss: 0.11602916330082529
Train Loss: 0.11599349730441283
Train Loss: 0.11595828685914586
Train Loss: 0.11592352193532793
Train Loss: 0.11588919281261749
Train Loss: 0.1158552900678351
Train Loss: 0.11582180456335156
Train Loss: 0.11578872743602837
Train Loss: 0.1157560500866777
Train Loss: 0.11572376417001079
Train Loss: 0.11569186158505212
Train Loss: 0.11566033446599108
Train Loss: 0.11562917517345478
Train Loss: 0.11559837628616305
